"Z(30,)","YX(30, 31)"
-0.03978682587236031,-0.15045219354387265
-0.046075557175746844,-0.14586692423011965
-0.0433653886759788,-0.14315350222714524
-0.04278129388922602,-0.14624779775365407
-0.04301496631826238,-0.141057190413646
-0.03962146909567134,-0.14363365347577012
-0.03670817475718681,-0.14707949475048732
-0.0362232119453312,-0.14431807272973823
-0.04604452167545559,-0.14485905084382297
-0.03959001054865179,-0.1409780406688707
-0.039059220760900216,-0.14659132157139748
-0.04296386487559558,-0.14381462768817316
-0.03876768055673814,-0.14673725926410908
-0.04344660656000348,-0.14294772788900612
-0.03969964780667398,-0.1490699204073544
-0.03716787390923405,-0.15166625569093822
-0.03557846872354089,-0.1501096696352173
-0.03911618504275694,-0.14528149572043128
-0.039612926177348025,-0.14046291678096995
-0.03654167903898849,-0.14512916437065945
-0.036009136442170804,-0.148427907832991
-0.0410661190390918,-0.1458306764027747
-0.04051237466894053,-0.14783102444879964
-0.04068695885080424,-0.14407349169100708
-0.03811744862837383,-0.14190066896006945
-0.03963674711107041,-0.15073742761255166
-0.038163405874824655,-0.1444294023998577
-0.04647075611819854,-0.14226837785280702
-0.04180729025585967,-0.14875372087217625
-0.04071798610454994,-0.14386929697375708
-0.03910762659195297,-0.14320882954651448
-0.04086360992593681,-0.1465034783292712
-0.0397438075760591,-0.14290719591290052
-0.041206144459279864,-0.1463951414697261
-0.038125374097645125,-0.1455038292680746
-0.038352614955120636,-0.1466891489798954
-0.04191110350957691,-0.14750506486301904
-0.038988992593677906,-0.14396428032553257
-0.038275896455253616,-0.14541865945348947
-0.03778208366140219,-0.14130201150433366
-0.04033865249296004,-0.1385733038544533
-0.0391826837114914,-0.14689265049240297
-0.03902936441833205,-0.14763080353513822
-0.04319336629506401,-0.15036721703583722
-0.04139517720867532,-0.1494708886849382
-0.038344842732312014,-0.14807493559268634
-0.038563132647123584,-0.1465748800738094
-0.03702294036240024,-0.14050748713457112
-0.04382759195606671,-0.14052693139885708
-0.04428698334810008,-0.14506962994415523
-0.038482902759075115,-0.1479656763826874
-0.03870793788349028,-0.1472221248403381
-0.03825068168549238,-0.14434627400911962
-0.04012306178220092,-0.14752466474721682
-0.04055344488740256,-0.14774264112340527
-0.038315040201367945,-0.15093317137667603
-0.043542264783610146,-0.13551619822594682
-0.03726676969762691,-0.1409346685636076
-0.04274933823233659,-0.14308118008109
-0.04144648882370142,-0.14975208060137632
-0.039130677429265716,-0.14152163110452473
-0.038798092223400096,-0.14456530921271293
-0.04586688156077102,-0.14343137554319843
-0.036871974218053605,-0.14211900586533646
-0.040054629513170924,-0.1486707705779841
-0.041371515074024916,-0.13686137027597692
-0.04558504857728897,-0.1469623068131274
-0.044594417135544406,-0.14024977943423822
-0.04365134606823875,-0.14409323226095228
-0.04239711910376194,-0.14971030924590426
-0.03934308279694136,-0.14382168745855756
-0.03989246968375948,-0.14514999561389602
-0.0382894045748614,-0.1427840266401709
-0.0428452777502122,-0.1460150209311457
-0.036396362045453656,-0.14794848363661875
-0.03752782348134349,-0.14315454086798257
-0.043309101777070744,-0.14728608995219675
-0.03390798537636242,-0.1423805689739415
-0.03895234539212048,-0.14507361885728995
-0.04281455919209848,-0.14529737533887754
-0.04351030037700123,-0.14979048550441604
-0.03671479061467835,-0.15069698662603526
-0.0324722175554896,-0.144574545507967
-0.03575464141571138,-0.14576439072756134
-0.040815742956757425,-0.14546705075896138
-0.04659034779979787,-0.14475272567225547
-0.04033839527347022,-0.14940952752531309
-0.04132921806621954,-0.14107108719722444
-0.03817528372687288,-0.14274113066900052
-0.03755952050686015,-0.14663773709081016
-0.0399559885938425,-0.14230108201983413
-0.04160318680134526,-0.14160261764354448
-0.041720418868683204,-0.14189113653141275
-0.041514350908442264,-0.1444632218634177
-0.04300744952811682,-0.1487755793709269
-0.03816167951109983,-0.1448475809728352
-0.037154431229382036,-0.14321243966698616
-0.039208277212400285,-0.141617406442194
-0.045013793888189435,-0.14795775021008817
-0.03634768244656258,-0.14058114727565624
-0.03979012048789157,-0.14724768651189601
-0.0413786917034994,-0.14038326694688288
-0.03707057557311071,-0.1504934416073884
-0.041306253740334,-0.142572678567348
-0.03646706837658019,-0.14815500486155955
